iter	F1	Logloss
0	0.5280431056	0.6666742904
1	0.6962025316	0.6420227429
2	0.6845822567	0.6207860179
3	0.6084270902	0.601700211
4	0.607158639	0.585019507
5	0.6084270902	0.5713569499
6	0.7048441607	0.5568280718
7	0.703048551	0.5465691435
8	0.6994680851	0.5361718387
9	0.693598751	0.5282749937
10	0.7000383583	0.5169699819
11	0.7037249284	0.5065943079
12	0.7028473151	0.5002296192
13	0.7027027027	0.4919829604
14	0.7022783841	0.4859595241
15	0.7040246486	0.4804192261
16	0.7026300634	0.4761388691
17	0.7066234014	0.4714317048
18	0.7072286859	0.4663661952
19	0.7069820679	0.4632530543
20	0.7068472249	0.4603869584
21	0.7063975628	0.4573475437
22	0.7068899886	0.4543896303
23	0.7060836502	0.4519701876
24	0.7081122062	0.4490436464
25	0.708357021	0.4467154161
26	0.7082228117	0.4446924373
27	0.7078907436	0.4429430351
28	0.708357021	0.4416007154
29	0.7073540561	0.4396943916
30	0.7085541257	0.4384370825
31	0.7094940307	0.4372353479
32	0.7095671982	0.4360599031
33	0.70876926	0.4346775287
34	0.709101273	0.433772847
35	0.7095427813	0.4327963752
36	0.7096774194	0.4317407317
37	0.7097019176	0.4309016383
38	0.7094325299	0.4300972448
39	0.7102272727	0.4294725836
40	0.7103969754	0.4288037533
41	0.713747646	0.4277698314
42	0.7136132555	0.4270976732
43	0.713882087	0.4260433608
44	0.7139898324	0.4255764986
45	0.710959682	0.4250149147
46	0.7140974967	0.4247057304
47	0.71420508	0.4243022782
48	0.7147158449	0.4238041345
49	0.7144469526	0.4231141876
50	0.7154929577	0.4227473111
51	0.715520481	0.4222116841
52	0.715520481	0.4219649115
53	0.7160586687	0.4209941273
54	0.7163000564	0.4207505312
55	0.7166760669	0.4203099285
56	0.7165413534	0.4200371989
57	0.7170520775	0.4196088183
58	0.7171584289	0.4192002837
59	0.7172647004	0.419051137
60	0.7179583412	0.4186642331
61	0.7179583412	0.4183335088
62	0.7179583412	0.4180061425
63	0.7181988743	0.4178112536
64	0.7181988743	0.4170133948
65	0.7184393172	0.4164722618
66	0.7185449091	0.4160021322
67	0.7186504217	0.415730401
68	0.7186504217	0.4152557335
69	0.7185157421	0.4149944698
70	0.7188905547	0.4146954807
71	0.7190253046	0.4142873393
72	0.7190253046	0.4139707733
73	0.7192949559	0.4136519081
74	0.7188905547	0.4132862115
75	0.7192653673	0.4131260831
76	0.7192653673	0.4129601461
77	0.7193705508	0.4127680404
78	0.7193705508	0.4124889275
79	0.7192358119	0.4122152903
80	0.7193705508	0.4120048816
81	0.7192358119	0.4118282654
82	0.7199850159	0.4113840928
83	0.7202548248	0.4113343571
84	0.7196104139	0.4108009083
85	0.7197154091	0.4103818154
86	0.7197154091	0.4096902349
87	0.7197154091	0.4096444623
88	0.7196104139	0.4093938173
89	0.7204945673	0.4088708057
90	0.7204945673	0.4087956879
91	0.7204945673	0.4086099655
92	0.7204945673	0.4082481715
93	0.7204945673	0.4080884666
94	0.7207342199	0.4079771361
95	0.7207342199	0.4077398629
96	0.7207342199	0.4076428722
97	0.7209737828	0.4073891414
98	0.7209737828	0.4072893069
99	0.7228870606	0.406986627
100	0.7228870606	0.4067416091
101	0.7228870606	0.4066975911
102	0.7228870606	0.4066541783
103	0.7226168224	0.4063016719
104	0.7228870606	0.4061946675
105	0.7226168224	0.4057753023
106	0.722855541	0.4055124654
107	0.722855541	0.4053823781
108	0.722855541	0.4052203135
109	0.722855541	0.4050910732
110	0.7230941704	0.4049803477
111	0.7230941704	0.4048731921
112	0.7233327106	0.4047479452
113	0.7231976093	0.4045161478
114	0.7235711617	0.4044279304
115	0.7234360411	0.4041822469
116	0.7239447142	0.403982336
117	0.7241830065	0.4037983985
118	0.7239447142	0.4036936934
119	0.7243182667	0.4035443955
120	0.7243182667	0.4034019347
121	0.7247243506	0.4030975909
122	0.7244859813	0.4029479602
123	0.7246214246	0.4027322573
124	0.7243505887	0.4025189746
125	0.7243505887	0.4024195032
126	0.7243505887	0.4024031666
127	0.7243505887	0.402257136
128	0.7243505887	0.4021249915
129	0.7243505887	0.4020792189
130	0.7242152466	0.402027547
131	0.7243505887	0.4019255646
132	0.7240799552	0.4018866595
133	0.7240799552	0.4017867947
134	0.7242152466	0.401686325
135	0.7242152466	0.4016255772
136	0.7242152466	0.4015991362
137	0.7243505887	0.4014045498
138	0.7247243506	0.4012045481
139	0.7245889387	0.4011406843
